algorithm,path_length,nodes_explored,compute_time,replan_count,predictive_replans,evade_count,found_treasure,wall_density,num_guards,repetition
DFS,143,6883,0.02116830018348992,62,62,25,True,0.35,4,4
DFS,59,272,0.0009998995810747147,2,2,6,True,0.35,4,5
DFS,59,1133,0.0025105003733187914,5,5,0,True,0.35,4,6
DFS,311,11564,0.029733700677752495,96,96,35,True,0.35,4,7
DFS,263,6419,0.017980599077418447,74,74,35,True,0.35,4,8
DFS,39,994,0.0022448997478932142,8,8,0,True,0.35,4,9
DFS,428,20803,0.05325309792533517,70,70,23,False,0.35,4,10
DFS,70,1607,0.003754399251192808,11,11,1,True,0.35,4,11
DFS,167,7289,0.016569400439038873,40,40,11,True,0.35,4,12
DFS,373,24219,0.05944980098865926,94,94,64,True,0.35,4,13
DFS,79,1786,0.004286300390958786,24,24,10,True,0.35,4,14
DFS,105,1889,0.004241699818521738,9,9,12,True,0.35,4,15
DFS,67,828,0.0018637997563928366,7,7,11,True,0.35,4,16
DFS,128,3335,0.007659400347620249,32,32,19,True,0.35,4,17
DFS,428,13708,0.03596519911661744,72,72,50,False,0.35,4,18
DFS,89,2065,0.004702699836343527,13,13,9,True,0.35,4,19
DFS,103,1039,0.00368130044080317,11,11,6,True,0.35,4,20
DFS,132,4406,0.017476300708949566,30,30,6,True,0.35,4,21
DFS,359,26208,0.07549020391888916,128,128,47,True,0.35,4,22
DFS,244,10899,0.02905859937891364,72,72,79,True,0.35,4,23
DFS,91,1728,0.004350499948486686,11,11,2,True,0.35,4,24
DFS,343,17161,0.04314329870976508,65,65,24,True,0.35,4,25
DFS,102,3315,0.009620200609788299,28,28,16,True,0.35,4,26
DFS,79,1461,0.004962300416082144,14,14,2,True,0.35,4,27
DFS,341,9118,0.02193899964913726,92,92,0,True,0.35,4,28
DFS,60,332,0.0007476001046597958,4,4,4,True,0.35,4,29
DFS,156,3661,0.010229800594970584,39,39,18,True,0.35,6,0
DFS,462,35281,0.09500580094754696,38,38,27,False,0.35,6,1
DFS,394,26125,0.07881489838473499,106,106,42,False,0.35,6,2
DFS,169,6959,0.01831939909607172,42,42,11,True,0.35,6,3
DFS,150,3935,0.011763599934056401,35,35,37,True,0.35,6,4
DFS,245,6484,0.0211523009929806,60,60,113,True,0.35,6,5
DFS,198,7357,0.01942369993776083,70,70,56,True,0.35,6,6
DFS,396,16020,0.04615759872831404,104,104,33,False,0.35,6,7
DFS,293,11099,0.03240200038999319,93,93,14,True,0.35,6,8
DFS,394,19158,0.052306598983705044,106,106,116,False,0.35,6,9
DFS,86,3440,0.010221600765362382,20,20,18,True,0.35,6,10
DFS,325,18641,0.04201550129801035,32,32,65,True,0.35,6,11
DFS,331,11052,0.02621230063959956,69,69,63,True,0.35,6,12
DFS,242,10731,0.02414669981226325,63,63,108,True,0.35,6,13
DFS,157,5248,0.013373700669035316,41,41,0,True,0.35,6,14
